Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,parsed_date
Norway,Eliteserien,2023,10/04/2023,13:30,Rosenborg,Viking,1,0,H,2.04,3.7,3.73,2.05,3.97,4.5,1.95,3.6,3.72,,,,,,,2023-04-10
Norway,Eliteserien,2023,10/04/2023,16:00,Aalesund,Valerenga,0,1,A,3.1,3.36,2.45,3.1,3.5,2.45,2.99,3.34,2.34,,,,,,,2023-04-10
Norway,Eliteserien,2023,10/04/2023,16:00,Ham-Kam,Sandefjord,2,0,H,1.93,3.69,4.19,1.95,3.75,4.2,1.89,3.57,4.0,,,,,,,2023-04-10
Norway,Eliteserien,2023,10/04/2023,16:00,Sarpsborg 08,Bodo/Glimt,0,2,A,3.54,3.9,2.04,3.81,4.01,2.04,3.5,3.83,1.95,,,,,,,2023-04-10
Norway,Eliteserien,2023,10/04/2023,16:00,Stabaek,Odd,0,0,D,2.11,3.4,3.84,2.49,3.6,3.84,2.09,3.41,3.48,,,,,,,2023-04-10
Norway,Eliteserien,2023,10/04/2023,16:00,Tromso,Molde,1,0,H,4.33,3.83,1.86,4.33,3.85,2.04,4.04,3.67,1.85,,,,,,,2023-04-10
Norway,Eliteserien,2023,10/04/2023,18:15,Brann,Haugesund,3,0,H,1.36,5.45,8.67,1.63,5.5,9.02,1.36,5.07,7.89,,,,,,,2023-04-10
Norway,Eliteserien,2023,15/04/2023,17:00,Viking,Lillestrom,2,0,H,2.3,3.46,3.28,2.35,3.5,3.3,2.25,3.34,3.14,,,,,,,2023-04-15
Norway,Eliteserien,2023,16/04/2023,18:15,Valerenga,Sarpsborg 08,0,2,A,2.09,3.72,3.56,2.09,3.82,3.7,2.02,3.64,3.43,,,,,,,2023-04-16
Norway,Eliteserien,2023,16/04/2023,16:00,Sandefjord,Tromso,0,0,D,3.12,3.36,2.44,3.15,3.6,2.45,3.01,3.29,2.35,,,,,,,2023-04-16
Norway,Eliteserien,2023,16/04/2023,16:00,Odd,Brann,2,0,H,4.62,4.37,1.71,4.75,4.37,1.77,4.42,4.02,1.7,,,,,,,2023-04-16
